kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_usia,jumlah_korban,tahun
3201,KABUPATEN BOGOR,LAKI-LAKI,0-5,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,13-17,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,18-24,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,25-44,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,45-59,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,6-12,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,60+,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,0-5,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,13-17,1,2018
3201,KABUPATEN BOGOR,PEREMPUAN,18-24,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,25-44,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,45-59,1,2018
3201,KABUPATEN BOGOR,PEREMPUAN,6-12,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,60+,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,0-5,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,13-17,2,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,18-24,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,25-44,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,45-59,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,6-12,3,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,60+,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,0-5,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,13-17,12,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,18-24,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,25-44,10,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,45-59,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,6-12,7,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,60+,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,0-5,1,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,13-17,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,18-24,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,25-44,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,45-59,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,6-12,3,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,60+,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,0-5,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,13-17,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,18-24,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,25-44,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,45-59,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,6-12,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,60+,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,0-5,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,13-17,6,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,18-24,1,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,25-44,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,45-59,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,6-12,3,2018
