kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pekerjaan,jumlah_korban,tahun
3201,KABUPATEN BOGOR,LAKI-LAKI,BEKERJA,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,IBU/BAPAK RUMAH TANGGA,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,PELAJAR,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,PNS/TNI/POLRI,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,SWASTA/BURUH,0,2018
3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK BEKERJA,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,BEKERJA,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,IBU/BAPAK RUMAH TANGGA,1,2018
3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,PELAJAR,1,2018
3201,KABUPATEN BOGOR,PEREMPUAN,PNS/TNI/POLRI,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,SWASTA/BURUH,0,2018
3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK BEKERJA,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,BEKERJA,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,IBU/BAPAK RUMAH TANGGA,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,PELAJAR,5,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,PNS/TNI/POLRI,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,SWASTA/BURUH,0,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK BEKERJA,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,BEKERJA,1,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,IBU/BAPAK RUMAH TANGGA,9,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,PELAJAR,17,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,PNS/TNI/POLRI,0,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,SWASTA/BURUH,1,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK BEKERJA,1,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,BEKERJA,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,IBU/BAPAK RUMAH TANGGA,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK DIKETAHUI,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,PELAJAR,2,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,PNS/TNI/POLRI,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,SWASTA/BURUH,0,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK BEKERJA,2,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,BEKERJA,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,IBU/BAPAK RUMAH TANGGA,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK DIKETAHUI,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,PELAJAR,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,PNS/TNI/POLRI,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,SWASTA/BURUH,0,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK BEKERJA,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,BEKERJA,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,IBU/BAPAK RUMAH TANGGA,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK DIKETAHUI,2,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,PELAJAR,7,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,PNS/TNI/POLRI,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,SWASTA/BURUH,0,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK BEKERJA,2,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,BEKERJA,0,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,IBU/BAPAK RUMAH TANGGA,5,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,TIDAK DIKETAHUI,5,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,PELAJAR,24,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,PNS/TNI/POLRI,0,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,SWASTA/BURUH,0,2018
