kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,tahun
3201,KABUPATEN BOGOR,LAKI-LAKI,2353185,2018
3201,KABUPATEN BOGOR,PEREMPUAN,2232627,2018
3202,KABUPATEN SUKABUMI,LAKI-LAKI,1299202,2018
3202,KABUPATEN SUKABUMI,PEREMPUAN,1252894,2018
3203,KABUPATEN CIANJUR,LAKI-LAKI,1170452,2018
3203,KABUPATEN CIANJUR,PEREMPUAN,1092749,2018
3204,KABUPATEN BANDUNG,LAKI-LAKI,1803113,2018
3204,KABUPATEN BANDUNG,PEREMPUAN,1732879,2018
3205,KABUPATEN GARUT,LAKI-LAKI,1139923,2018
3205,KABUPATEN GARUT,PEREMPUAN,1095547,2018
3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,895310,2018
3206,KABUPATEN TASIKMALAYA,PEREMPUAN,867312,2018
3207,KABUPATEN CIAMIS,LAKI-LAKI,621963,2018
3207,KABUPATEN CIAMIS,PEREMPUAN,618322,2018
3208,KABUPATEN KUNINGAN,LAKI-LAKI,582419,2018
3208,KABUPATEN KUNINGAN,PEREMPUAN,565097,2018
3209,KABUPATEN CIREBON,LAKI-LAKI,1095984,2018
3209,KABUPATEN CIREBON,PEREMPUAN,1066592,2018
3210,KABUPATEN MAJALENGKA,LAKI-LAKI,645435,2018
3210,KABUPATEN MAJALENGKA,PEREMPUAN,633318,2018
3211,KABUPATEN SUMEDANG,LAKI-LAKI,579337,2018
3211,KABUPATEN SUMEDANG,PEREMPUAN,568861,2018
3212,KABUPATEN INDRAMAYU,LAKI-LAKI,933453,2018
3212,KABUPATEN INDRAMAYU,PEREMPUAN,922005,2018
3213,KABUPATEN SUBANG,LAKI-LAKI,786301,2018
3213,KABUPATEN SUBANG,PEREMPUAN,776805,2018
3214,KABUPATEN PURWAKARTA,LAKI-LAKI,473558,2018
3214,KABUPATEN PURWAKARTA,PEREMPUAN,462656,2018
3215,KABUPATEN KARAWANG,LAKI-LAKI,1149127,2018
