nama_kabupaten_kota,kode_kabupaten_kota,nama_provinsi,kode_provinsi
Aceh Barat,1107,Aceh,11
Aceh Barat Daya,1112,Aceh,11
Aceh Besar,1108,Aceh,11
Aceh Jaya,1116,Aceh,11
Aceh Selatan,1103,Aceh,11
Aceh Singkil,1102,Aceh,11
Aceh Tamiang,1114,Aceh,11
Aceh Tengah,1106,Aceh,11
Aceh Tenggara,1104,Aceh,11
Aceh Timur,1105,Aceh,11
Aceh Utara,1111,Aceh,11
Agam,1307,Sumatera Barat,13
Alor,5307,Nusa Tenggara Timur,53
Asahan,1208,Sumatera Utara,12
Asmat,9415,Papua,94
Badung,5103,Bali,51
Balangan,6311,Kalimantan Selatan,63
Bandung,3204,Jawa Barat,32
Bandung Barat,3217,Jawa Barat,32
Banggai,7202,Sulawesi Tengah,72
Banggai Kepulauan,7201,Sulawesi Tengah,72
Banggai Laut,7211,Sulawesi Tengah,72
Bangka,1901,Kepulauan Bangka Belitung,19
Bangka Barat,1903,Kepulauan Bangka Belitung,19
Bangka Selatan,1905,Kepulauan Bangka Belitung,19
Bangka Tengah,1904,Kepulauan Bangka Belitung,19
Bangkalan,3526,Jawa Timur,35
Bangli,5106,Bali,51
Banjar,6303,Kalimantan Selatan,63
Banjarnegara,3304,Jawa Tengah,33
Bantaeng,7303,Sulawesi Selatan,73
Bantul,3402,Daerah Istimewa Yogyakarta,34
Banyu Asin,1607,Sumatera Selatan,16
Banyumas,3302,Jawa Tengah,33
Banyuwangi,3510,Jawa Timur,35
Barito Kuala,6304,Kalimantan Selatan,63
Barito Selatan,6204,Kalimantan Tengah,62
Barito Timur,6212,Kalimantan Tengah,62
Barito Utara,6205,Kalimantan Tengah,62
Barru,7310,Sulawesi Selatan,73
Batang,3325,Jawa Tengah,33
Batang Hari,1504,Jambi,15
Batu Bara,1219,Sumatera Utara,12
Bekasi,3216,Jawa Barat,32
Belitung,1902,Kepulauan Bangka Belitung,19
Belitung Timur,1906,Kepulauan Bangka Belitung,19
Belu,5306,Nusa Tenggara Timur,53
Bener Meriah,1117,Aceh,11
Bengkalis,1408,Riau,14
Bengkayang,6102,Kalimantan Barat,61
Bengkulu Selatan,1701,Bengkulu,17
Bengkulu Tengah,1709,Bengkulu,17
Bengkulu Utara,1703,Bengkulu,17
Berau,6405,Kalimantan Timur,64
Biak Numfor,9409,Papua,94
Bima,5206,Nusa Tenggara Barat,52
Bintan,2102,Kepulauan Riau,21
Bireuen,1110,Aceh,11
Blitar,3505,Jawa Timur,35
Blora,3316,Jawa Tengah,33
