kode_kabupaten_kota,nama_kabupaten_kota,2018,2019,2020,2021,2022
3201,KABUPATEN BOGOR,25373,26709,28476,29072,30173
3202,KABUPATEN SUKABUMI,17938,18651,17010,17359,17953
3203,KABUPATEN CIANJUR,13412,13900,12869,13124,13590
3204,KABUPATEN BANDUNG,20879,22321,22433,22898,23782
3205,KABUPATEN GARUT,14282,14939,14949,15349,15991
3206,KABUPATEN TASIKMALAYA,13316,13789,13081,13367,13829
3207,KABUPATEN CIAMIS,17565,18329,17898,18401,19169
3208,KABUPATEN KUNINGAN,14725,15560,14495,14812,15426
3209,KABUPATEN CIREBON,14779,15421,14696,14897,15342
3210,KABUPATEN MAJALENGKA,16682,17759,16704,17278,18197
3211,KABUPATEN SUMEDANG,19574,20490,20552,21059,21972
3212,KABUPATEN INDRAMAYU,33904,34629,32336,32162,32727
3213,KABUPATEN SUBANG,17358,18264,17797,18004,18580
3214,KABUPATEN PURWAKARTA,46508,48924,45549,46309,47924
3215,KABUPATEN KARAWANG,67345,70240,64852,67627,70840
3216,KABUPATEN BEKASI,66636,68158,78345,79728,82472
3217,KABUPATEN BANDUNG BARAT,17752,18773,17198,17474,18080
3218,KABUPATEN PANGANDARAN,18401,19307,18304,18762,19488
3271,KOTA BOGOR,27729,29643,30893,31712,33153
3272,KOTA SUKABUMI,25162,26527,24724,25231,26161
3273,KOTA BANDUNG,73924,77545,79032,81704,85820
3274,KOTA CIREBON,50011,53245,50074,50928,52838
3275,KOTA BEKASI,22458,23580,26629,27212,28283
3276,KOTA DEPOK,19731,20802,23497,23945,24756
3277,KOTA CIMAHI,34867,38002,39336,40718,42857
3278,KOTA TASIKMALAYA,22421,23320,21601,22075,22879
3279,KOTA BANJAR,16777,17291,16229,16544,16983
